country,channel,impressions,clicks,cost,installs,visits,purchases,revenue
B,SEM-Hotels,416,20,2.96,,19,4,1.61
B,SEM-Hotels,379,20,2.64,,21,4,7.25
B,SEM-Hotels,81,6,2.51,,5,1,0.5
B,SEM-Hotels,878,29,2.51,,24,1,0.66
B,SEM-Hotels,97,4,2.16,,4,1,0.36
B,SEM-Hotels,227,7,2.14,,6,0,
B,SEM-Hotels,489,16,1.62,,15,3,0.87
B,SEM-Hotels,81,3,1.45,,2,1,0.72
B,SEM-Hotels,140,2,1.28,,3,16,8.02
B,SEM-Hotels,257,11,0.95,,13,4,1.72
B,SEM-Hotels,334,8,0.7,,9,0,
B,SEM-Hotels,43,1,0.52,,1,0,
B,SEM-Hotels,122,3,0.4,,3,3,1.36
B,SEM-Hotels,4,1,0.29,,1,0,
E,APP-Acquisition-Android,11022585,47877,"1,710","2,180",,7602,346.46
E,APP-Acquisition-Android,2845248,17381,564,870,,2118,145.18
E,APP-Acquisition-iOS,9231299,40191,"3,945","3,768",,1628,358.77
E,APP-Acquisition-iOS,2465942,13154,"2,897","2,743",,1084,254.27
E,Web-Retargeting,4282704,29826,454.59,,23972,167,33.72
E,Web-Retargeting,1109824,12702,217.15,,10447,27,5.46
E,Web-Retargeting,7345,1336,61.32,,72,22,4.51
E,Web-Retargeting,7543,1494,53.04,,31,4,1
E,Web-Retargeting,6752,890,39.16,,16,1,0.41
E,Web-Retargeting,245217,751,31.03,,653,10,4.23
E,Web-Retargeting,3024,633,22.42,,24,3,0.75
E,Web-Retargeting,2644,463,17.32,,13,1,0.62
E,Web-Retargeting,23405,131,5.95,,130,0,0.02
E,Web-Retargeting,413,88,2.27,,1,1,0.45
E,Web-Acquisition,59411,20762,207.72,,224,12,3.26
E,Web-Acquisition,104330,20110,201.34,,257,20,15.55
E,Web-Acquisition,767686,13430,153.95,,4496,32,2.77
E,Web-Acquisition,885085,15025,153.87,,6866,4,1.08
E,Web-Acquisition,225375,3214,108.03,,976,44,39.52
E,Web-Acquisition,196849,2606,102.72,,1716,157,42.43
E,Web-Acquisition,7407,3183,32.46,,10,2,1.44
E,Web-Acquisition,7718,2567,27.1,,21,1,0.4
E,Web-Acquisition,4431,2653,27.02,,26,2,0.94
E,Web-Acquisition,6609,1797,17.97,,29,8,1.54
E,SEM-Brand,15398,4921,411.54,,6407,3957,1714.82
E,SEM-Brand,36672,7761,330.19,,10106,2988,567.72
E,SEM-Brand,18984,4049,232.3,,5002,1340,284.12
E,SEM-Brand,2887,864,115.87,,1585,755,440.63
E,SEM-Flights,14060,1855,1247.33,,2333,748,297.04
E,SEM-Flights,37478,1373,584.21,,1404,398,157.27
E,SEM-Flights,68858,8278,536.93,,9472,2624,473.59
E,SEM-Flights,21597,1736,436.14,,1617,284,107.37
E,SEM-Flights,69112,8660,362.63,,6602,1099,223.69
E,SEM-Flights,6044,979,244.26,,960,176,69.43
E,SEM-Flights,63585,4687,218.12,,4225,636,115.13
E,SEM-Flights,10755,1385,181.97,,1145,239,94.63
E,SEM-Flights,7528,741,137.81,,700,127,59.34
E,SEM-Flights,12169,409,136.14,,470,153,59.98
E,SEM-Flights,35658,3218,125.36,,2987,429,99.06
E,SEM-Flights,42156,2145,101.58,,2005,353,84.95
E,SEM-Flights,16902,1916,73.41,,1636,269,51.97
E,SEM-Flights,4431,487,56.7,,456,49,18.11
E,SEM-Flights,2346,296,55.76,,291,40,16.01
E,SEM-Flights,13524,202,50.22,,207,30,11.13
E,SEM-Flights,11559,224,41.52,,220,31,12.9
E,SEM-Flights,13163,130,40,,123,27,9.82
E,SEM-Flights,6892,152,36.28,,175,90,40.03
E,SEM-Flights,8168,837,30.29,,772,73,13.17
E,SEM-Flights,8759,846,26.28,,744,64,12.44
E,SEM-Flights,12186,133,22.51,,118,57,19.74
E,SEM-Flights,2593,36,10.24,,37,18,8.77
E,SEM-Flights,3872,137,9.24,,144,34,4.95
E,SEM-Flights,2918,199,8.42,,241,63,14.81
E,SEM-Flights,1469,156,7.31,,148,20,3.86
E,SEM-Flights,3576,115,7.14,,104,11,3.04
E,SEM-Flights,3096,73,7.06,,84,27,4.14
E,SEM-Flights,331,34,6.74,,31,3,2.92
E,SEM-Flights,307,44,5.52,,38,8,2.95
E,SEM-Flights,260,29,5.4,,23,5,2.51
E,SEM-Flights,3452,107,5.37,,93,13,3.12
E,SEM-Flights,244,26,5.18,,27,7,2.35
E,SEM-Flights,1202,109,4.94,,77,10,5.64
E,SEM-Flights,1334,25,4.91,,22,3,0.91
E,SEM-Flights,699,19,4.53,,20,1,0.55
E,SEM-Flights,2085,75,4.28,,74,9,1.15
E,SEM-Flights,450,30,4.26,,33,18,5.36
E,SEM-Flights,1656,59,3.83,,51,6,1.01
E,SEM-Flights,599,71,2.82,,82,4,0.45
E,SEM-Flights,1667,9,1.99,,7,0,
E,SEM-Flights,408,6,1.77,,10,1,0.17
E,SEM-Flights,570,28,1.61,,27,10,1.39
E,SEM-Flights,490,10,1.37,,10,2,1.08
